CODIGO_VENDA;CODIGO_PRODUTO;VALOR_UNITARIO;QUANTIDADE;VALOR_FINAL
13;6;6.12;8;48.96
13;8;9.89;9;89.01
13;14;154.04;1;154.04
13;17;73.26;3;219.78
13;19;146.58;4;586.32
13;48;75.76;2;151.52
13;61;3.25;5;16.25
13;74;3.85;4;15.4
13;80;1.97;6;11.82
13;82;4.81;6;28.86
14;7;76.0;6;456.0
14;36;46.29;4;185.16
15;40;21.22;2;42.44
16;3;179.87;3;539.61
16;4;113.02;2;226.04
16;17;93.05;8;744.4
16;24;90.58;8;724.64
16;30;61.62;7;431.34
16;39;20.24;1;20.24
16;40;20.44;1;20.44
16;61;3.72;1;3.72
16;67;2.21;3;6.63
16;77;5.63;4;22.52
17;2;92.52;2;185.04
17;4;137.66;9;1238.94
17;22;6.67;1;6.67
17;46;67.97;6;407.82
17;48;32.43;3;97.29
17;51;65.74;4;262.96
17;68;2.2;2;4.4
17;71;3.55;3;10.65
17;80;2.43;4;9.72
17;83;3.75;8;30.0
18;1;86.31;5;431.55
18;11;163.46;3;490.38
18;16;93.84;6;563.04
19;34;60.95;7;426.65
19;42;62.09;1;62.09
19;71;5.6;4;22.4
20;1;52.65;5;263.25
20;7;50.96;9;458.64
20;8;7.44;1;7.44
20;22;6.21;5;31.05
20;25;9.21;4;36.84
20;43;51.89;1;51.89
20;45;22.23;5;111.15
20;46;40.93;6;245.58
20;56;44.75;7;313.25
20;59;4.77;7;33.39
21;22;6.48;6;38.88
21;34;49.25;7;344.75
21;50;61.32;5;306.6
21;56;78.52;5;392.6
21;75;3.36;3;10.08
22;5;6.41;9;57.69
22;8;7.65;1;7.65
22;19;148.27;2;296.54
22;28;39.74;6;238.44
22;31;44.35;1;44.35
22;56;44.53;4;178.12
22;61;2.44;1;2.44
22;86;5.84;3;17.52
23;15;7.02;8;56.16
23;25;8.58;7;60.06
23;34;57.36;6;344.16
23;36;79.77;8;638.16
23;40;26.25;8;210.0
23;80;3.87;7;27.09
23;83;5.71;6;34.26
23;88;3.67;8;29.36
24;17;69.79;3;209.37
24;27;116.38;1;116.38
24;28;49.69;1;49.69
24;33;55.88;3;167.64
24;35;17.13;8;137.04
24;44;27.37;3;82.11
24;46;55.31;9;497.79
24;56;82.79;6;496.74
24;72;2.74;7;19.18
24;73;4.1;4;16.4
25;16;82.09;8;656.72
25;30;53.72;3;161.16
25;33;42.64;4;170.56
25;47;69.75;4;279.0
25;49;34.71;6;208.26
25;70;3.37;7;23.59
25;72;4.94;9;44.46
25;81;5.1;3;15.3
26;4;144.53;8;1156.24
26;6;6.06;2;12.12
26;11;102.45;3;307.35
26;49;69.8;3;209.4
26;74;5.2;5;26.0
26;85;2.48;5;12.4
27;8;7.59;9;68.31
27;21;8.87;5;44.35
27;22;9.51;5;47.55
27;34;72.35;3;217.05
27;39;19.79;2;39.58
27;44;26.88;7;188.16
27;59;5.35;5;26.75
27;88;3.44;5;17.2
28;11;166.14;5;830.7
28;14;125.46;2;250.92
28;19;151.36;8;1210.88
28;28;39.59;4;158.36
28;31;57.82;6;346.92
28;39;28.96;7;202.72
28;51;33.16;4;132.64
28;53;56.94;6;341.64
28;66;5.41;8;43.28
28;84;3.25;6;19.5
29;10;100.62;5;503.1
29;31;83.22;2;166.44
29;33;60.09;2;120.18
29;34;31.53;3;94.59
29;37;41.45;4;165.8
29;48;36.43;3;109.29
29;66;4.74;8;37.92
29;89;5.87;2;11.74
30;58;21.35;1;21.35
30;65;4.67;2;9.34
31;26;6.3;7;44.1
31;65;1.01;1;1.01
31;80;3.02;9;27.18
32;3;141.59;2;283.18
32;11;164.57;3;493.71
32;68;4.36;2;8.72
33;6;6.76;2;13.52
33;15;9.37;7;65.59
33;23;75.77;9;681.93
33;30;38.31;8;306.48
33;39;18.78;9;169.02
33;43;49.7;9;447.3
33;49;71.57;7;500.99
33;50;41.43;5;207.15
33;91;2.51;9;22.59
34;18;8.71;8;69.68
34;37;39.73;5;198.65
35;27;105.67;1;105.67
35;39;15.38;3;46.14
35;42;52.41;6;314.46
35;46;72.44;4;289.76
35;48;68.43;8;547.44
35;54;57.96;4;231.84
35;74;1.2;1;1.2
35;86;2.78;3;8.34
35;89;2.72;9;24.48
36;12;9.79;6;58.74
36;15;6.76;5;33.8
36;29;70.22;1;70.22
36;32;44.39;3;133.17
36;72;4.94;6;29.64
36;73;4.84;6;29.04
36;79;3.98;8;31.84
36;80;4.62;8;36.96
36;81;1.87;9;16.83
37;8;7.54;4;30.16
37;10;101.01;4;404.04
37;11;151.76;2;303.52
37;24;54.92;9;494.28
37;29;62.37;4;249.48
37;43;62.38;7;436.66
37;50;45.22;9;406.98
37;60;1.7;6;10.2
37;74;3.14;2;6.28
37;81;4.66;6;27.96
38;4;174.9;6;1049.4
38;6;9.61;7;67.27
38;47;44.6;6;267.6
38;57;22.32;1;22.32
38;61;2.42;3;7.26
39;1;72.75;8;582.0
39;3;103.77;9;933.93
39;7;86.14;5;430.7
39;10;119.07;3;357.21
39;20;7.1;3;21.3
39;23;90.99;4;363.96
39;29;31.66;1;31.66
39;49;69.32;4;277.28
39;62;1.7;4;6.8
39;78;2.83;4;11.32
40;32;81.45;3;244.35
41;8;6.62;5;33.1
41;35;17.14;1;17.14
41;38;24.06;8;192.48
41;58;15.7;9;141.3
41;66;5.85;3;17.55
41;75;5.44;9;48.96
41;81;3.79;6;22.74
41;84;5.11;7;35.77
42;21;7.61;4;30.44
42;30;30.06;4;120.24
42;34;66.0;2;132.0
42;49;46.76;2;93.52
42;72;5.74;3;17.22
42;80;3.42;4;13.68
43;65;3.34;3;10.02
44;1;99.04;9;891.36
44;3;139.94;2;279.88
44;9;9.87;2;19.74
44;19;118.98;3;356.94
44;36;49.73;7;348.11
45;41;52.22;8;417.76
45;47;70.49;7;493.43
45;83;3.8;3;11.4
46;36;67.38;8;539.04
46;54;39.9;4;159.6
46;58;15.06;2;30.12
46;66;3.02;4;12.08
47;11;125.91;1;125.91
47;22;6.28;9;56.52
47;31;48.54;9;436.86
47;34;59.77;3;179.31
47;35;28.64;3;85.92
47;49;72.93;7;510.51
47;57;25.5;2;51.0
47;73;4.28;7;29.96
47;84;5.69;2;11.38
47;89;5.23;7;36.61
48;8;8.07;6;48.42
48;14;98.32;2;196.64
48;58;29.77;6;178.62
48;59;5.1;4;20.4
48;66;2.33;6;13.98
48;70;1.13;1;1.13
48;71;3.46;7;24.22
48;81;3.7;6;22.2
48;85;2.7;2;5.4
49;44;18.43;6;110.58
50;33;34.84;2;69.68
50;35;19.05;6;114.3
50;37;68.48;1;68.48
50;87;5.54;8;44.32
51;8;9.23;8;73.84
51;15;6.13;1;6.13
51;16;77.32;1;77.32
51;29;30.37;4;121.48
51;33;54.91;6;329.46
51;45;18.8;9;169.2
51;62;2.68;5;13.4
51;67;1.86;9;16.74
51;69;5.88;2;11.76
51;83;3.75;3;11.25
52;6;6.73;3;20.19
52;45;19.55;1;19.55
52;46;58.46;6;350.76
52;52;44.32;6;265.92
52;74;4.98;4;19.92
53;4;104.72;1;104.72
53;8;6.23;2;12.46
53;26;9.37;7;65.59
53;29;54.77;3;164.31
53;47;52.0;4;208.0
53;48;58.43;7;409.01
53;69;1.94;6;11.64
53;70;2.08;7;14.56
54;12;8.44;2;16.88
54;37;45.67;2;91.34
54;46;42.05;4;168.2
54;52;72.16;9;649.44
54;57;20.57;5;102.85
54;68;5.44;1;5.44
54;69;4.9;1;4.9
54;73;1.99;7;13.93
54;75;4.77;2;9.54
54;79;2.88;3;8.64
55;3;134.53;8;1076.24
55;8;6.97;1;6.97
56;64;3.97;8;31.76
57;14;138.29;9;1244.61
57;58;27.74;4;110.96
57;65;3.1;8;24.8
57;82;5.27;3;15.81
58;8;9.97;1;9.97
58;33;38.45;6;230.7
58;34;53.88;2;107.76
58;48;60.84;7;425.88
58;63;4.36;5;21.8
59;89;5.86;7;41.02
60;7;49.48;6;296.88
60;19;123.36;2;246.72
60;40;27.28;2;54.56
60;49;39.06;5;195.3
60;59;5.89;8;47.12
60;70;3.06;9;27.54
60;86;5.5;8;44.0
61;11;107.63;5;538.15
61;38;15.21;4;60.84
61;46;47.64;4;190.56
61;58;19.62;6;117.72
61;64;1.56;3;4.68
61;87;3.8;6;22.8
62;2;92.4;6;554.4
62;11;112.09;6;672.54
62;31;56.87;4;227.48
62;33;53.05;3;159.15
62;42;33.47;2;66.94
62;48;72.05;5;360.25
62;63;5.74;2;11.48
62;81;5.24;2;10.48
63;22;8.28;6;49.68
63;47;60.66;9;545.94
63;57;24.3;5;121.5
63;74;4.44;4;17.76
64;31;52.97;4;211.88
64;37;45.09;6;270.54
64;46;45.92;2;91.84
64;52;73.71;7;515.97
64;64;3.94;3;11.82
64;72;1.6;9;14.4
64;73;4.22;6;25.32
64;88;3.21;2;6.42
65;18;6.09;4;24.36
65;27;101.09;7;707.63
65;29;62.78;2;125.56
65;54;52.47;1;52.47
65;60;5.04;8;40.32
65;69;5.77;4;23.08
65;74;1.12;6;6.72
65;87;5.22;7;36.54
66;62;5.34;7;37.38
66;68;4.3;5;21.5
67;2;76.35;5;381.75
67;9;7.7;8;61.6
67;21;9.01;8;72.08
67;32;81.21;9;730.89
67;60;5.66;4;22.64
67;61;2.39;4;9.56
67;66;5.38;6;32.28
67;70;2.85;4;11.4
67;90;1.63;9;14.67
68;65;4.88;7;34.16
68;72;2.77;9;24.93
68;88;4.53;3;13.59
69;26;6.67;9;60.03
70;5;8.46;5;42.3
70;8;6.01;9;54.09
70;9;6.43;2;12.86
70;20;7.62;5;38.1
70;38;23.77;2;47.54
70;59;2.13;3;6.39
70;67;5.56;9;50.04
71;27;104.24;8;833.92
71;42;50.03;9;450.27
71;48;67.49;9;607.41
71;63;5.47;8;43.76
72;19;118.83;8;950.64
72;28;33.54;1;33.54
72;31;34.63;3;103.89
72;90;5.88;5;29.4
73;14;113.27;9;1019.43
73;15;6.28;6;37.68
73;19;146.66;1;146.66
73;29;65.29;7;457.03
73;34;71.76;4;287.04
73;48;56.27;8;450.16
73;56;35.54;7;248.78
73;82;1.18;3;3.54
74;37;74.26;5;371.3
75;1;49.65;3;148.95
75;42;72.11;6;432.66
75;48;68.73;8;549.84
75;59;5.04;1;5.04
75;63;2.3;8;18.4
76;8;9.47;3;28.41
76;21;7.06;2;14.12
76;64;3.05;2;6.1
77;2;81.12;1;81.12
77;74;5.9;8;47.2
77;75;3.11;6;18.66
78;67;4.01;2;8.02
78;68;1.0;7;7.0
78;83;3.09;5;15.45
79;36;52.66;2;105.32
79;40;22.94;4;91.76
79;41;72.45;4;289.8
79;56;52.61;1;52.61
79;58;27.65;4;110.6
79;59;5.74;3;17.22
79;85;1.58;2;3.16
80;14;176.44;7;1235.08
80;49;45.94;4;183.76
80;65;2.64;4;10.56
80;67;1.7;7;11.9
80;81;4.24;9;38.16
81;17;90.61;1;90.61
81;21;6.74;8;53.92
81;31;35.52;4;142.08
81;42;60.17;1;60.17
81;48;56.31;5;281.55
81;54;40.58;3;121.74
81;57;26.83;6;160.98
81;80;3.2;5;16.0
81;81;1.44;4;5.76
82;24;43.57;7;304.99
82;28;46.44;3;139.32
82;37;32.08;9;288.72
82;58;21.79;7;152.53
82;70;3.52;4;14.08
82;76;4.67;9;42.03
82;80;2.59;6;15.54
82;82;3.5;8;28.0
82;87;4.22;9;37.98
83;7;39.05;4;156.2
83;9;9.79;9;88.11
83;25;8.19;9;73.71
83;36;41.79;9;376.11
83;49;36.54;4;146.16
83;82;1.64;9;14.76
83;90;1.66;2;3.32
84;3;117.71;7;823.97
84;5;6.74;8;53.92
84;25;9.9;8;79.2
84;38;23.04;5;115.2
84;62;2.85;7;19.95
84;71;1.69;6;10.14
84;78;3.44;8;27.52
84;81;2.36;5;11.8
85;6;7.15;2;14.3
85;7;85.55;6;513.3
85;15;7.31;1;7.31
85;35;19.07;4;76.28
85;36;38.08;6;228.48
85;59;5.47;3;16.41
85;62;2.62;7;18.34
85;65;2.02;9;18.18
85;70;1.53;7;10.71
85;74;5.93;6;35.58
86;29;60.4;1;60.4
86;40;26.51;7;185.57
86;41;64.33;6;385.98
86;48;60.76;9;546.84
86;53;30.2;8;241.6
86;61;3.25;7;22.75
86;73;1.22;7;8.54
87;9;9.35;5;46.75
87;27;108.02;9;972.18
87;31;48.12;2;96.24
87;34;52.25;1;52.25
87;40;15.85;3;47.55
87;56;49.62;9;446.58
87;70;3.72;7;26.04
88;3;138.39;7;968.73
88;6;9.65;7;67.55
88;13;112.73;9;1014.57
88;19;149.43;5;747.15
88;44;23.68;3;71.04
88;75;1.96;1;1.96
89;27;113.78;9;1024.02
90;39;21.7;3;65.1
90;48;56.51;9;508.59
91;5;8.25;8;66.0
91;24;62.37;2;124.74
91;29;32.02;8;256.16
91;39;27.1;8;216.8
91;41;73.11;3;219.33
91;67;1.1;5;5.5
91;88;4.24;5;21.2
92;11;161.27;4;645.08
92;31;47.5;6;285.0
92;37;72.78;5;363.9
92;39;23.03;4;92.12
92;80;5.96;2;11.92
92;84;2.43;4;9.72
93;15;8.86;9;79.74
93;37;61.08;5;305.4
93;52;60.42;8;483.36
93;62;3.01;1;3.01
93;83;1.8;2;3.6
94;2;72.19;7;505.33
94;48;41.46;6;248.76
94;86;3.18;7;22.26
95;3;151.48;8;1211.84
95;18;8.39;6;50.34
95;31;32.97;8;263.76
95;43;53.63;8;429.04
95;47;30.08;5;150.4
95;53;74.73;1;74.73
95;71;1.94;8;15.52
95;85;1.87;1;1.87
96;12;8.74;7;61.18
96;40;27.45;6;164.7
97;37;55.12;1;55.12
97;78;3.12;2;6.24
97;80;1.23;2;2.46
97;87;3.01;8;24.08
98;4;170.94;9;1538.46
98;19;132.92;2;265.84
98;44;25.04;6;150.24
98;45;19.57;5;97.85
98;52;43.2;2;86.4
98;64;2.34;4;9.36
98;73;2.38;3;7.14
98;83;3.46;1;3.46
98;89;5.6;3;16.8
99;7;98.91;1;98.91
99;35;20.83;9;187.47
99;60;1.77;8;14.16
99;75;5.54;4;22.16
99;80;5.03;5;25.15
100;6;9.24;8;73.92
100;54;37.76;7;264.32
101;10;101.75;9;915.75
101;27;110.6;4;442.4
101;64;3.34;8;26.72
101;67;5.52;9;49.68
101;86;3.89;7;27.23
101;88;3.12;2;6.24
102;87;2.62;6;15.72
103;29;72.78;3;218.34
103;31;49.02;4;196.08
103;38;20.47;5;102.35
103;50;69.96;9;629.64
103;59;1.31;7;9.17
103;82;5.24;2;10.48
104;20;9.78;2;19.56
105;11;99.09;2;198.18
105;20;8.53;9;76.77
105;26;6.72;1;6.72
105;29;51.99;9;467.91
105;30;56.02;2;112.04
105;37;49.72;7;348.04
105;55;76.43;8;611.44
105;74;3.97;5;19.85
105;79;2.9;7;20.3
105;91;1.32;8;10.56
106;8;8.88;6;53.28
106;24;87.03;5;435.15
106;35;19.13;1;19.13
106;44;25.14;9;226.26
106;47;67.41;4;269.64
106;65;5.46;6;32.76
106;77;1.32;5;6.6
106;83;4.53;5;22.65
106;90;5.16;9;46.44
107;10;111.02;9;999.18
108;12;8.87;6;53.22
108;26;9.22;9;82.98
108;51;32.58;3;97.74
108;66;2.1;4;8.4
109;18;8.93;2;17.86
109;19;122.54;3;367.62
109;50;52.62;6;315.72
109;55;31.48;6;188.88
109;61;5.16;5;25.8
109;66;2.78;7;19.46
109;72;4.11;8;32.88
109;76;3.88;6;23.28
109;91;5.91;5;29.55
110;8;7.05;9;63.45
110;21;6.38;3;19.14
110;36;53.33;3;159.99
111;10;99.97;8;799.76
111;20;8.93;7;62.51
111;29;38.31;9;344.79
111;53;36.89;3;110.67
112;27;101.28;9;911.52
112;30;41.7;3;125.1
112;45;24.81;5;124.05
112;51;31.66;7;221.62
112;55;36.45;6;218.7
112;66;4.0;9;36.0
112;68;2.56;5;12.8
112;69;1.34;9;12.06
112;78;5.77;1;5.77
113;36;76.49;7;535.43
113;58;21.9;2;43.8
113;69;4.33;7;30.31
113;71;3.2;9;28.8
114;3;92.77;4;371.08
114;6;7.25;7;50.75
114;59;5.76;2;11.52
114;91;1.69;3;5.07
115;7;48.57;1;48.57
115;33;70.85;8;566.8
115;41;37.04;7;259.28
115;51;53.23;7;372.61
115;57;28.67;3;86.01
115;59;5.85;3;17.55
115;61;3.8;3;11.4
115;73;1.82;9;16.38
115;78;2.85;7;19.95
116;15;6.4;1;6.4
116;22;6.8;4;27.2
116;41;72.39;3;217.17
116;45;16.51;7;115.57
116;57;15.11;8;120.88
116;69;5.1;7;35.7
117;40;29.82;6;178.92
118;13;114.17;2;228.34
119;8;6.53;9;58.77
119;26;6.29;8;50.32
119;27;100.99;2;201.98
119;28;44.2;4;176.8
119;35;17.41;3;52.23
119;43;61.66;5;308.3
119;72;2.11;8;16.88
119;90;1.0;2;2.0
120;37;33.15;3;99.45
120;45;22.54;5;112.7
120;61;3.18;7;22.26
120;76;3.12;9;28.08
121;34;62.31;2;124.62
122;43;50.08;4;200.32
122;44;24.41;4;97.64
122;72;2.98;1;2.98
123;28;44.16;7;309.12
123;71;1.39;9;12.51
123;73;3.66;2;7.32
123;80;4.39;3;13.17
123;81;3.21;9;28.89
123;84;4.85;2;9.7
123;88;5.32;7;37.24
124;37;38.99;2;77.98
124;39;19.79;8;158.32
124;41;63.62;1;63.62
124;47;30.24;8;241.92
124;48;31.68;7;221.76
124;50;37.33;4;149.32
124;59;2.26;8;18.08
125;79;2.82;9;25.38
125;84;5.64;5;28.2
126;5;9.87;1;9.87
126;13;153.17;2;306.34
126;17;73.49;6;440.94
126;22;8.96;8;71.68
126;43;68.77;3;206.31
126;53;59.84;7;418.88
126;54;31.41;1;31.41
126;64;2.01;7;14.07
126;89;3.77;8;30.16
127;49;33.49;8;267.92
127;62;3.5;3;10.5
127;79;4.52;8;36.16
128;48;35.31;1;35.31
129;2;87.45;2;174.9
129;23;96.27;4;385.08
129;28;49.26;7;344.82
129;38;16.59;4;66.36
129;39;29.28;2;58.56
129;44;20.44;5;102.2
129;51;37.41;5;187.05
129;71;4.44;7;31.08
129;89;2.97;6;17.82
130;1;68.99;6;413.94
130;76;3.43;7;24.01
130;81;3.91;9;35.19
130;83;5.24;4;20.96
130;84;1.98;4;7.92
131;9;9.24;1;9.24
131;50;37.41;2;74.82
131;53;84.86;5;424.3
131;56;43.48;4;173.92
131;72;2.47;3;7.41
131;74;1.44;9;12.96
131;77;1.13;5;5.65
131;81;5.89;9;53.01
131;85;2.85;8;22.8
131;86;2.0;2;4.0
132;7;78.65;6;471.9
132;17;72.8;7;509.6
132;31;51.38;7;359.66
132;37;40.9;9;368.1
132;40;15.1;1;15.1
132;64;5.45;2;10.9
133;2;82.41;7;576.87
133;8;7.29;9;65.61
133;29;73.23;2;146.46
133;63;5.47;3;16.41
133;64;5.59;1;5.59
133;75;2.37;1;2.37
133;91;3.17;9;28.53
134;4;128.25;2;256.5
134;13;146.14;6;876.84
134;49;58.27;2;116.54
134;56;53.41;6;320.46
134;87;5.7;2;11.4
134;88;3.09;3;9.27
135;3;128.19;9;1153.71
135;4;114.14;6;684.84
135;14;123.94;9;1115.46
135;30;65.17;3;195.51
135;32;43.94;1;43.94
135;36;32.27;8;258.16
135;43;51.83;3;155.49
135;48;54.46;2;108.92
135;71;3.5;4;14.0
136;4;92.57;4;370.28
136;18;6.16;7;43.12
136;26;7.85;1;7.85
136;29;71.46;1;71.46
136;33;34.81;3;104.43
136;34;60.18;3;180.54
136;47;73.83;2;147.66
136;77;4.8;1;4.8
136;78;1.08;3;3.24
137;14;148.57;9;1337.13
137;50;30.54;6;183.24
137;62;2.73;6;16.38
138;2;77.92;6;467.52
138;6;7.16;4;28.64
138;16;92.46;2;184.92
138;26;7.61;1;7.61
138;36;38.37;7;268.59
138;53;32.74;3;98.22
138;70;5.28;9;47.52
138;72;2.24;7;15.68
139;77;2.63;6;15.78
140;8;7.29;7;51.03
140;12;8.26;2;16.52
140;13;112.96;8;903.68
140;36;32.46;2;64.92
140;55;63.15;1;63.15
140;56;72.23;5;361.15
140;76;1.17;1;1.17
140;77;4.4;6;26.4
140;83;3.3;1;3.3
140;87;1.08;1;1.08
141;28;72.6;8;580.8
141;37;61.51;1;61.51
142;20;7.0;2;14.0
142;27;113.31;3;339.93
143;4;127.5;7;892.5
143;24;65.9;7;461.3
143;49;53.45;5;267.25
143;58;21.08;3;63.24
143;75;4.84;3;14.52
143;76;2.86;6;17.16
143;85;3.36;3;10.08
143;91;1.52;2;3.04
144;9;6.58;1;6.58
144;12;9.88;5;49.4
144;46;63.08;4;252.32
144;48;43.91;7;307.37
144;58;16.61;8;132.88
144;61;2.53;1;2.53
144;81;3.56;1;3.56
144;84;4.02;6;24.12
145;6;9.53;2;19.06
145;7;48.02;3;144.06
145;13;100.73;3;302.19
145;19;154.53;5;772.65
145;37;65.17;7;456.19
145;45;21.73;1;21.73
145;47;40.28;2;80.56
145;59;2.67;6;16.02
145;80;4.41;4;17.64
146;7;70.49;5;352.45
146;14;159.98;8;1279.84
146;22;8.54;7;59.78
146;35;28.25;8;226.0
146;37;72.32;1;72.32
146;50;56.7;2;113.4
146;58;16.36;8;130.88
146;71;4.26;4;17.04
146;87;2.83;2;5.66
146;90;5.17;2;10.34
147;3;155.18;3;465.54
147;12;6.09;4;24.36
147;51;65.57;5;327.85
147;66;3.13;5;15.65
148;23;87.33;5;436.65
148;58;19.95;1;19.95
149;16;84.88;5;424.4
149;23;74.4;3;223.2
149;48;65.1;2;130.2
149;52;35.45;9;319.05
149;53;50.3;3;150.9
149;79;2.81;8;22.48
149;82;4.85;1;4.85
149;89;1.53;9;13.77
150;9;7.89;9;71.01
150;26;8.87;9;79.83
150;29;67.14;5;335.7
150;49;35.01;2;70.02
150;73;4.78;4;19.12
151;14;179.33;8;1434.64
151;17;87.22;3;261.66
151;21;8.49;6;50.94
151;35;22.72;3;68.16
151;36;57.54;7;402.78
151;43;48.46;9;436.14
151;84;4.1;8;32.8
152;8;8.12;2;16.24
152;9;7.9;1;7.9
152;42;74.51;5;372.55
152;71;4.5;3;13.5
153;10;107.61;7;753.27
153;70;2.13;1;2.13
154;68;5.89;2;11.78
155;1;92.15;4;368.6
155;4;154.48;2;308.96
155;42;45.0;6;270.0
155;53;68.19;2;136.38
155;58;21.72;7;152.04
155;59;1.35;8;10.8
155;67;5.72;2;11.44
155;69;2.74;8;21.92
155;81;4.27;9;38.43
155;82;2.33;1;2.33
156;16;71.4;4;285.6
156;40;25.55;7;178.85
156;47;38.64;4;154.56
156;53;39.45;3;118.35
156;56;36.16;7;253.12
156;67;4.69;9;42.21
156;74;4.49;7;31.43
157;2;76.45;1;76.45
157;34;60.76;6;364.56
157;68;3.63;6;21.78
157;85;1.68;7;11.76
157;90;3.99;1;3.99
158;9;6.48;4;25.92
158;11;117.17;7;820.19
158;13;168.32;5;841.6
158;14;101.9;7;713.3
158;79;5.59;9;50.31
159;65;5.4;6;32.4
159;81;4.02;4;16.08
160;35;20.66;8;165.28
160;39;15.5;2;31.0
160;74;5.69;8;45.52
160;80;5.79;9;52.11
160;84;4.4;3;13.2
160;90;4.42;4;17.68
161;3;105.49;5;527.45
161;9;8.89;2;17.78
161;17;86.39;9;777.51
161;22;8.2;6;49.2
161;26;6.58;3;19.74
161;43;37.49;7;262.43
161;45;19.07;2;38.14
161;76;5.33;9;47.97
162;28;32.34;8;258.72
162;47;44.04;3;132.12
162;59;5.56;4;22.24
162;63;1.94;5;9.7
162;72;4.17;6;25.02
162;73;5.67;7;39.69
162;80;5.04;7;35.28
162;81;1.4;9;12.6
162;83;3.85;5;19.25
163;24;77.4;5;387.0
163;38;15.55;1;15.55
163;40;19.71;1;19.71
164;21;7.49;4;29.96
164;23;65.69;3;197.07
164;26;6.9;9;62.1
165;18;7.24;2;14.48
165;36;58.23;1;58.23
165;54;46.59;3;139.77
165;83;1.75;1;1.75
165;89;4.67;7;32.69
166;37;32.11;7;224.77
166;49;57.87;4;231.48
166;62;1.33;6;7.98
166;79;4.92;4;19.68
167;14;122.19;9;1099.71
167;68;5.33;8;42.64
167;72;4.14;1;4.14
168;1;90.95;9;818.55
168;12;7.43;5;37.15
168;16;92.13;5;460.65
168;24;57.62;9;518.58
168;27;114.66;4;458.64
168;60;2.13;5;10.65
168;68;1.89;2;3.78
168;75;4.3;7;30.1
168;85;2.65;3;7.95
169;15;8.92;4;35.68
169;16;96.91;7;678.37
169;21;7.06;5;35.3
169;38;19.43;4;77.72
169;41;49.64;3;148.92
169;53;53.61;1;53.61
169;54;65.48;2;130.96
169;76;5.62;4;22.48
169;82;4.57;4;18.28
170;14;99.16;4;396.64
170;19;146.92;8;1175.36
171;3;122.55;3;367.65
171;17;76.87;7;538.09
171;18;6.77;1;6.77
171;50;66.99;3;200.97
171;73;5.83;7;40.81
172;19;137.79;9;1240.11
172;38;15.04;7;105.28
172;46;68.83;2;137.66
172;53;63.75;9;573.75
172;56;64.15;9;577.35
172;71;5.79;8;46.32
172;84;5.21;1;5.21
173;3;105.97;6;635.82
173;6;7.8;3;23.4
173;16;99.91;5;499.55
173;26;9.89;5;49.45
173;74;3.21;3;9.63
173;75;4.03;4;16.12
173;79;2.48;1;2.48
174;28;52.95;9;476.55
174;36;48.84;6;293.04
174;61;3.83;1;3.83
174;84;1.72;5;8.6
175;10;110.87;7;776.09
175;31;82.88;4;331.52
175;45;23.82;9;214.38
175;69;1.16;4;4.64
176;1;65.24;8;521.92
176;9;9.31;9;83.79
176;12;8.14;2;16.28
176;16;76.86;2;153.72
176;49;76.2;7;533.4
176;74;4.4;3;13.2
176;81;5.01;7;35.07
176;88;4.42;8;35.36
176;91;5.04;1;5.04
177;3;133.52;8;1068.16
178;9;9.93;7;69.51
