CODIGO_VENDA;DATA_VENDA;CODIGO_CLIENTE;CODIGO_LOJA_VENDEDOR;FORMA_PAGAMENTO;TIPO_PAGAMENTO;VALOR_FINAL
830;2017-01-24 13:25:00;702;2;4.0;PARCELADO;2132.69
2410;2017-01-25 12:19:53;1032;12;3.0;A VISTA;2152.32
1000;2017-01-27 15:24:15;730;16;4.0;A VISTA;394.99
512;2017-01-29 13:49:19;194;8;2.0;A VISTA;1108.87
1101;2017-01-30 13:43:40;683;3;1.0;A VISTA;7.02
263;2017-01-31 16:24:05;1219;16;3.0;A VISTA;355.67
1134;2017-02-01 15:15:04;1263;13;3.0;PARCELADO;738.4
1135;2017-02-01 15:15:04;963;1;1.0;A VISTA;664.55
3;2017-02-05 12:41:07;492;4;3.0;A VISTA;1389.32
2060;2017-02-06 10:09:53;887;12;1.0;A VISTA;451.3
234;2017-02-09 17:21:18;345;10;2.0;A VISTA;1025.08
815;2017-02-10 13:37:48;665;12;1.0;PARCELADO;82.72
1922;2017-02-12 10:02:28;200;8;2.0;PARCELADO;669.34
1815;2017-02-13 10:08:53;1326;16;1.0;A VISTA;363.74
1425;2017-02-14 16:49:43;26;13;1.0;A VISTA;934.59
2208;2017-02-15 09:54:54;74;4;2.0;A VISTA;451.24
1212;2017-02-16 10:18:28;80;5;3.0;A VISTA;1542.66
1749;2017-02-16 12:05:46;853;6;3.0;A VISTA;192.29
670;2017-02-17 12:58:03;936;10;4.0;PARCELADO;1242.09
2539;2017-02-17 17:15:26;1062;10;2.0;A VISTA;715.97
157;2017-02-18 14:01:31;429;3;3.0;A VISTA;478.53999999999996
2331;2017-02-20 09:51:28;1236;2;1.0;A VISTA;522.59
376;2017-02-20 19:30:54;921;0;1.0;PARCELADO;135.54
1216;2017-02-23 12:39:55;951;3;2.0;A VISTA;893.0899999999999
2390;2017-02-24 11:57:38;913;8;4.0;A VISTA;700.5
2119;2017-02-24 14:31:44;469;4;3.0;PARCELADO;156.76
2120;2017-02-24 14:31:44;1363;1;2.0;A VISTA;222.99
2207;2017-02-24 16:40:06;693;8;1.0;A VISTA;4.0
739;2017-02-25 16:33:32;39;2;4.0;A VISTA;1764.5900000000001
1258;2017-02-27 15:26:09;1334;9;4.0;A VISTA;68.94
849;2017-02-28 11:40:19;880;11;3.0;A VISTA;363.12
2215;2017-02-28 14:31:50;38;11;2.0;PARCELADO;1073.78
1851;2017-03-01 11:35:09;1350;5;2.0;PARCELADO;1563.56
805;2017-03-02 11:11:49;101;6;1.0;A VISTA;2309.15
982;2017-03-03 09:55:04;1025;14;2.0;A VISTA;1330.28
337;2017-03-03 16:33:55;1395;12;1.0;A VISTA;1177.4
401;2017-03-03 16:55:35;126;7;4.0;A VISTA;210.26
1929;2017-03-05 11:46:57;577;2;1.0;A VISTA;2044.94
1748;2017-03-05 11:49:09;734;0;2.0;PARCELADO;784.9699999999999
1180;2017-03-06 14:38:30;96;8;1.0;A VISTA;1342.26
1738;2017-03-07 11:34:21;801;14;2.0;A VISTA;1010.25
993;2017-03-11 15:46:06;1397;7;2.0;A VISTA;432.68
944;2017-03-12 12:53:10;358;15;3.0;A VISTA;997.82
2211;2017-03-12 14:29:24;10;12;3.0;A VISTA;747.73
2039;2017-03-12 16:41:29;936;4;3.0;PARCELADO;938.11
2411;2017-03-12 17:28:27;329;15;2.0;A VISTA;608.4100000000001
1528;2017-03-13 15:24:22;912;16;3.0;PARCELADO;266.24
1558;2017-03-16 11:45:35;699;3;3.0;A VISTA;1819.6699999999998
896;2017-03-20 16:29:03;1075;7;2.0;PARCELADO;458.5
2217;2017-03-20 17:05:44;401;5;4.0;A VISTA;76.01
1754;2017-03-22 15:49:29;1250;10;4.0;A VISTA;546.83
1536;2017-03-23 15:45:09;37;13;3.0;A VISTA;1108.7
867;2017-03-24 09:19:21;411;9;4.0;PARCELADO;931.9200000000001
1714;2017-03-24 17:12:05;896;7;1.0;A VISTA;2039.3700000000001
919;2017-03-26 09:17:13;157;8;4.0;PARCELADO;25.35
171;2017-03-26 11:33:28;584;4;3.0;PARCELADO;1154.29
1655;2017-03-27 15:37:44;847;6;4.0;PARCELADO;510.96
1047;2017-03-28 10:29:27;1263;7;2.0;PARCELADO;768.99
2195;2017-03-30 09:49:44;764;3;1.0;PARCELADO;268.78
785;2017-03-30 15:31:37;1153;8;3.0;PARCELADO;2604.07
177;2017-03-30 15:46:19;43;6;1.0;PARCELADO;1068.16
78;2017-04-01 17:34:07;107;7;4.0;PARCELADO;30.47
240;2017-04-02 12:58:49;21;15;4.0;A VISTA;1901.92
16;2017-04-04 14:20:48;549;4;3.0;A VISTA;2739.58
1314;2017-04-06 11:36:07;791;13;2.0;A VISTA;81.44000000000001
535;2017-04-06 15:53:20;1396;10;1.0;PARCELADO;792.7199999999999
1040;2017-04-06 17:11:39;815;5;4.0;A VISTA;4.38
629;2017-04-08 06:33:35;1364;0;3.0;A VISTA;372.74
1565;2017-04-08 10:18:12;331;11;3.0;A VISTA;87.83000000000001
2334;2017-04-08 15:42:34;748;6;3.0;A VISTA;9.03
1138;2017-04-09 10:37:21;140;14;3.0;A VISTA;807.4200000000001
1024;2017-04-12 12:27:47;1071;8;4.0;A VISTA;1429.97
2310;2017-04-14 12:14:51;1073;12;3.0;PARCELADO;2796.98
573;2017-04-17 09:51:20;1133;5;4.0;A VISTA;1626.2
237;2017-04-21 12:23:41;616;9;4.0;PARCELADO;1695.46
113;2017-04-23 12:45:02;158;14;3.0;A VISTA;638.3399999999999
2452;2017-04-25 11:23:53;887;3;4.0;A VISTA;187.16000000000003
1495;2017-04-26 09:57:35;99;3;1.0;A VISTA;970.43
818;2017-04-26 15:51:39;891;14;3.0;A VISTA;81.61
1854;2017-04-29 10:48:01;135;14;3.0;A VISTA;2565.6800000000003
2358;2017-04-30 10:49:07;606;12;4.0;A VISTA;941.58
2257;2017-04-30 13:41:26;322;2;4.0;A VISTA;125.48
2400;2017-04-30 14:46:20;1350;3;2.0;A VISTA;709.08
677;2017-05-01 13:44:46;562;12;1.0;A VISTA;54.34
1727;2017-05-03 15:03:03;278;8;3.0;PARCELADO;8.7
1728;2017-05-03 15:03:03;668;1;2.0;A VISTA;926.48
2229;2017-05-03 16:23:09;827;5;2.0;A VISTA;590.8
744;2017-05-04 14:36:04;341;15;2.0;A VISTA;237.41000000000003
416;2017-05-06 12:55:53;626;11;4.0;PARCELADO;671.4599999999999
1377;2017-05-08 15:16:31;12;7;2.0;PARCELADO;2003.7
2146;2017-05-08 17:07:17;1367;2;4.0;A VISTA;1734.01
2002;2017-05-10 12:27:15;1018;4;1.0;A VISTA;359.24
1867;2017-05-13 10:01:53;724;10;4.0;A VISTA;763.87
1868;2017-05-13 10:01:53;384;1;2.0;A VISTA;747.61
2480;2017-05-14 15:09:47;792;5;1.0;A VISTA;1551.4199999999998
2171;2017-05-15 15:13:46;1130;13;2.0;A VISTA;2025.98
1392;2017-05-16 15:33:35;1146;13;1.0;A VISTA;520.1
1957;2017-05-17 07:38:57;1268;0;2.0;A VISTA;146.3
574;2017-05-17 11:37:28;1294;14;4.0;A VISTA;1796.1100000000001
1239;2017-05-18 14:26:47;260;12;2.0;A VISTA;46.35
2284;2017-05-19 16:17:45;882;5;3.0;A VISTA;1841.11
1530;2017-05-20 10:22:29;257;10;2.0;A VISTA;2507.0099999999998
245;2017-05-20 14:30:06;392;13;2.0;A VISTA;1625.8400000000001
279;2017-05-21 10:13:47;67;9;4.0;A VISTA;1325.91
2534;2017-05-23 17:48:44;1105;13;3.0;A VISTA;723.3199999999999
2477;2017-05-24 13:48:15;987;3;2.0;A VISTA;2930.12
585;2017-05-27 12:56:24;52;11;3.0;A VISTA;1573.1399999999999
1933;2017-05-28 13:12:33;237;5;1.0;A VISTA;547.04
736;2017-05-29 14:03:51;306;2;4.0;PARCELADO;709.73
2459;2017-05-31 09:02:49;1147;4;1.0;A VISTA;1430.82
2286;2017-05-31 09:16:55;961;15;1.0;A VISTA;456.76
467;2017-05-31 13:05:18;1126;4;1.0;A VISTA;655.75
920;2017-05-31 17:51:01;956;9;2.0;A VISTA;1173.47
370;2017-06-03 11:30:24;1237;15;4.0;PARCELADO;638.8199999999999
1789;2017-06-04 09:01:15;445;10;4.0;A VISTA;1608.35
2364;2017-06-04 12:10:43;875;16;4.0;A VISTA;2320.01
103;2017-06-04 15:07:38;834;16;4.0;A VISTA;1166.06
2180;2017-06-05 16:06:50;1106;7;2.0;A VISTA;7.91
1032;2017-06-05 17:24:53;841;7;3.0;A VISTA;1130.2
1964;2017-06-06 14:25:30;872;5;3.0;A VISTA;341.24
837;2017-06-09 09:09:33;555;15;1.0;A VISTA;1966.25
317;2017-06-11 09:37:20;1133;6;2.0;A VISTA;1116.45
1369;2017-06-11 17:43:28;44;3;4.0;PARCELADO;241.78
1155;2017-06-13 10:30:29;876;5;3.0;PARCELADO;8.76
1068;2017-06-13 17:35:37;1017;10;4.0;A VISTA;654.38
1404;2017-06-14 10:04:29;512;12;2.0;A VISTA;1472.41
1451;2017-06-14 11:11:05;888;14;4.0;A VISTA;1154.75
721;2017-06-15 11:12:58;486;6;1.0;PARCELADO;1004.6999999999999
2344;2017-06-15 11:54:06;43;16;2.0;A VISTA;2252.39
1110;2017-06-15 15:51:19;193;3;1.0;A VISTA;285.99
1626;2017-06-16 11:24:57;280;9;4.0;PARCELADO;2541.5299999999997
2273;2017-06-16 14:31:52;1221;12;4.0;A VISTA;334.65000000000003
1152;2017-06-16 14:42:57;485;4;2.0;PARCELADO;1790.0
492;2017-06-18 11:22:03;933;5;2.0;A VISTA;436.46999999999997
870;2017-06-20 16:37:50;1300;6;1.0;A VISTA;101.89
2349;2017-06-23 12:23:31;626;0;2.0;PARCELADO;10.64
1757;2017-06-24 10:20:56;1137;15;4.0;A VISTA;312.29
506;2017-06-25 12:30:56;837;5;2.0;A VISTA;2197.62
507;2017-06-25 12:30:56;633;1;4.0;PARCELADO;161.20000000000002
2379;2017-06-25 12:33:14;657;15;4.0;A VISTA;2725.23
1872;2017-06-25 16:05:39;266;9;3.0;A VISTA;53.18000000000001
499;2017-06-28 17:01:50;1309;4;2.0;A VISTA;378.87
2152;2017-06-29 17:56:37;878;12;3.0;A VISTA;1349.79
1790;2017-07-01 11:19:22;658;2;3.0;A VISTA;1691.8500000000001
520;2017-07-02 15:49:47;1103;16;1.0;A VISTA;684.04
687;2017-07-04 16:01:20;525;4;2.0;A VISTA;742.3
2206;2017-07-05 11:13:00;1023;6;1.0;A VISTA;633.03
1252;2017-07-05 16:46:04;532;8;3.0;A VISTA;1772.6399999999999
1443;2017-07-07 09:48:23;85;14;2.0;PARCELADO;2854.0
1444;2017-07-07 09:48:23;354;1;3.0;A VISTA;1581.7
724;2017-07-08 14:35:34;36;3;3.0;A VISTA;1325.56
904;2017-07-08 17:21:42;101;15;4.0;A VISTA;137.49
2380;2017-07-09 16:17:39;479;15;4.0;A VISTA;1423.77
970;2017-07-10 16:05:54;1135;2;2.0;A VISTA;62.519999999999996
1741;2017-07-11 17:36:07;329;11;1.0;A VISTA;555.76
1276;2017-07-12 13:47:49;69;14;3.0;A VISTA;849.8399999999999
779;2017-07-13 10:39:46;336;7;4.0;A VISTA;11.8
1130;2017-07-14 09:19:36;315;16;1.0;A VISTA;1986.17
2037;2017-07-16 13:07:14;763;6;3.0;PARCELADO;1400.44
321;2017-07-18 01:58:19;458;0;2.0;A VISTA;170.66
1820;2017-07-19 10:56:00;692;12;2.0;A VISTA;1758.4
162;2017-07-19 13:18:05;1;3;2.0;A VISTA;554.62
133;2017-07-20 15:18:17;462;6;1.0;PARCELADO;841.84
2398;2017-07-20 17:28:19;1256;3;2.0;PARCELADO;240.12
1164;2017-07-22 12:02:40;335;4;2.0;PARCELADO;1189.23
821;2017-07-23 09:25:05;741;4;2.0;A VISTA;1865.91
1938;2017-07-25 13:28:20;428;9;3.0;A VISTA;160.12
1981;2017-07-25 16:02:42;750;11;4.0;A VISTA;1240.71
560;2017-07-26 16:21:32;190;14;4.0;PARCELADO;684.64
693;2017-07-30 12:05:19;410;8;4.0;A VISTA;2752.93
441;2017-07-31 05:55:17;972;0;1.0;A VISTA;799.1800000000001
922;2017-07-31 16:18:37;551;16;2.0;A VISTA;263.8
1544;2017-08-01 15:23:35;908;5;2.0;A VISTA;1570.65
2001;2017-08-02 10:07:08;892;0;3.0;A VISTA;2020.1599999999999
561;2017-08-02 23:52:00;283;0;1.0;A VISTA;2139.8199999999997
425;2017-08-04 09:14:34;990;2;1.0;A VISTA;761.26
692;2017-08-04 11:14:13;395;3;4.0;A VISTA;1605.81
572;2017-08-07 12:16:22;1247;6;1.0;A VISTA;1050.6399999999999
1819;2017-08-07 14:22:51;919;15;3.0;A VISTA;473.88
152;2017-08-07 17:06:31;886;5;3.0;A VISTA;410.19
1607;2017-08-08 11:21:32;1240;2;3.0;A VISTA;809.86
325;2017-08-09 15:55:39;241;14;3.0;A VISTA;873.15
807;2017-08-11 12:18:00;1215;7;4.0;A VISTA;1728.1
385;2017-08-12 17:06:28;291;14;3.0;A VISTA;434.7
1359;2017-08-12 21:24:05;38;0;4.0;A VISTA;928.9200000000001
1976;2017-08-13 10:34:49;720;4;2.0;PARCELADO;267.6
758;2017-08-15 12:01:00;1310;15;4.0;A VISTA;83.28
650;2017-08-17 10:58:55;1320;12;2.0;A VISTA;207.08
1508;2017-08-18 09:52:12;1192;0;3.0;A VISTA;1268.22
928;2017-08-19 10:20:39;403;9;2.0;PARCELADO;2064.73
1584;2017-08-19 11:04:56;543;14;1.0;A VISTA;730.79
1894;2017-08-20 15:02:55;1177;16;1.0;A VISTA;421.31
2057;2017-08-21 14:45:16;1226;14;4.0;A VISTA;611.9399999999999
399;2017-08-22 00:30:21;46;0;2.0;A VISTA;811.22
1;2017-08-24 12:15:49;536;4;2.0;A VISTA;402.06
2142;2017-08-25 11:14:21;1110;14;2.0;A VISTA;77.37
1481;2017-08-25 22:19:43;43;0;3.0;A VISTA;2770.45
1768;2017-08-26 12:13:18;38;9;2.0;A VISTA;192.27
143;2017-08-27 13:48:28;547;11;2.0;A VISTA;1729.09
199;2017-08-28 15:02:01;647;3;1.0;A VISTA;730.87
295;2017-08-29 09:57:09;683;7;4.0;A VISTA;269.53
1802;2017-08-29 11:01:12;8;11;4.0;PARCELADO;160.71
596;2017-08-29 14:00:25;1286;16;1.0;A VISTA;602.29
1535;2017-08-30 10:42:55;533;13;2.0;PARCELADO;253.22
1816;2017-08-30 17:49:57;318;5;4.0;PARCELADO;605.8399999999999
128;2017-08-31 20:40:14;1341;0;1.0;A VISTA;35.31
1441;2017-09-06 11:38:28;1208;0;1.0;PARCELADO;314.04
2218;2017-09-08 13:19:54;712;2;4.0;A VISTA;1808.41
1118;2017-09-08 15:51:40;689;13;2.0;A VISTA;913.42
95;2017-09-08 19:30:50;613;0;2.0;A VISTA;2197.5
587;2017-09-10 13:35:30;898;16;1.0;A VISTA;1067.71
2504;2017-09-11 11:49:38;265;16;4.0;PARCELADO;1428.28
2271;2017-09-12 17:34:06;1331;2;3.0;A VISTA;1803.51
32;2017-09-16 16:30:52;1165;14;3.0;A VISTA;785.61
1114;2017-09-17 13:08:07;1268;16;3.0;A VISTA;2486.93
488;2017-09-19 12:02:52;1395;0;1.0;A VISTA;1158.14
1177;2017-09-20 09:10:38;1231;10;2.0;A VISTA;910.8100000000001
1571;2017-09-20 14:29:02;146;8;2.0;A VISTA;2345.49
1144;2017-09-21 13:45:37;1026;9;1.0;A VISTA;408.95
719;2017-09-21 15:23:53;1112;12;3.0;A VISTA;911.5699999999999
487;2017-09-22 09:37:28;496;16;1.0;A VISTA;212.92
1391;2017-09-23 14:50:31;520;11;4.0;A VISTA;445.94
41;2017-09-24 14:02:58;26;5;4.0;A VISTA;509.03999999999996
1883;2017-09-24 16:53:04;446;3;2.0;A VISTA;1497.8400000000001
1884;2017-09-24 16:53:04;741;1;4.0;A VISTA;558.06
1926;2017-09-24 17:37:06;417;12;2.0;PARCELADO;793.47
92;2017-09-27 10:12:19;424;10;3.0;PARCELADO;1407.74
644;2017-09-28 14:22:16;393;8;2.0;A VISTA;403.63
610;2017-09-30 10:24:52;553;11;1.0;A VISTA;135.08
2476;2017-10-02 15:41:35;642;2;1.0;PARCELADO;1371.26
617;2017-10-03 11:50:40;1374;14;4.0;PARCELADO;239.78
151;2017-10-07 17:14:02;409;13;3.0;A VISTA;2687.1200000000003
18;2017-10-08 11:05:03;514;0;3.0;PARCELADO;1484.97
1729;2017-10-09 11:35:26;1182;3;3.0;A VISTA;1861.51
2137;2017-10-14 16:49:34;299;6;3.0;A VISTA;1294.6
641;2017-10-17 09:42:43;924;13;2.0;A VISTA;52.62
1826;2017-10-17 14:48:47;610;3;2.0;A VISTA;996.51
819;2017-10-18 11:52:02;705;6;3.0;PARCELADO;2711.1
681;2017-10-19 11:48:45;217;13;1.0;A VISTA;169.24
2092;2017-10-20 11:18:43;1359;4;4.0;PARCELADO;436.2
1395;2017-10-20 11:58:42;89;6;1.0;A VISTA;372.93
2527;2017-10-21 09:18:56;423;2;4.0;A VISTA;1648.82
417;2017-10-21 16:49:04;1130;10;2.0;A VISTA;1146.81
341;2017-10-22 09:10:20;1376;11;2.0;A VISTA;2260.82
1865;2017-10-23 16:40:16;1260;10;4.0;A VISTA;642.72
213;2017-10-23 17:07:24;214;3;1.0;A VISTA;482.44
307;2017-10-24 11:51:33;984;9;3.0;A VISTA;1147.48
594;2017-10-25 11:23:10;448;7;2.0;A VISTA;366.90000000000003
1811;2017-10-25 12:33:51;739;8;2.0;A VISTA;1453.6
2010;2017-10-25 15:00:34;1262;6;4.0;A VISTA;1161.58
1003;2017-10-28 12:58:52;1002;2;3.0;A VISTA;1845.58
875;2017-10-29 10:40:39;410;4;2.0;PARCELADO;940.18
2345;2017-10-29 13:39:57;291;14;4.0;PARCELADO;443.52000000000004
1808;2017-10-29 16:04:13;1395;2;2.0;A VISTA;818.85
230;2017-11-01 12:55:39;676;6;4.0;A VISTA;1539.8
1265;2017-11-01 16:54:33;1189;11;2.0;A VISTA;274.44
866;2017-11-03 14:38:15;351;16;1.0;A VISTA;198.18
529;2017-11-03 16:41:16;968;6;4.0;A VISTA;72.92
2486;2017-11-04 11:25:47;1248;16;4.0;PARCELADO;20.8
1767;2017-11-04 12:38:37;894;7;1.0;A VISTA;12.4
2384;2017-11-05 10:12:35;254;15;2.0;A VISTA;533.56
458;2017-11-05 11:23:28;482;12;2.0;PARCELADO;2487.51
1187;2017-11-08 22:51:12;208;0;1.0;A VISTA;442.14
840;2017-11-09 14:48:49;733;13;3.0;A VISTA;744.52
1283;2017-11-09 14:58:21;1237;2;3.0;PARCELADO;1064.78
1284;2017-11-09 14:58:21;470;1;3.0;A VISTA;2343.84
1317;2017-11-10 12:40:05;1273;10;1.0;A VISTA;694.94
1614;2017-11-10 13:55:53;779;13;3.0;A VISTA;370.33000000000004
377;2017-11-12 11:53:01;1374;9;2.0;A VISTA;1150.21
378;2017-11-12 11:53:01;1313;1;2.0;A VISTA;257.76
2542;2017-11-12 13:27:54;442;4;4.0;A VISTA;718.58
248;2017-11-14 11:58:39;828;7;4.0;PARCELADO;733.21
134;2017-11-14 13:04:14;1366;6;2.0;A VISTA;1591.01
2117;2017-11-15 10:42:53;445;6;4.0;A VISTA;98.80000000000001
505;2017-11-16 12:23:18;461;5;3.0;A VISTA;601.44
1712;2017-11-17 10:53:42;1200;10;2.0;PARCELADO;1338.43
1453;2017-11-17 17:16:30;1190;13;2.0;A VISTA;2016.74
712;2017-11-19 10:12:57;359;11;4.0;A VISTA;593.61
2485;2017-11-19 10:13:01;1001;7;4.0;A VISTA;173.75
15;2017-11-19 15:06:23;462;14;4.0;A VISTA;42.44
831;2017-11-22 01:58:21;621;0;3.0;A VISTA;712.22
1688;2017-11-22 11:19:10;943;0;2.0;A VISTA;587.41
995;2017-11-23 10:34:28;90;2;3.0;A VISTA;1061.45
1699;2017-11-23 12:28:28;178;15;1.0;PARCELADO;1491.87
372;2017-11-23 13:26:01;829;7;3.0;PARCELADO;202.63
915;2017-11-24 09:09:04;1254;0;1.0;A VISTA;1600.46
1281;2017-11-27 17:14:52;890;2;2.0;PARCELADO;52.16
2238;2017-11-29 11:01:42;660;13;4.0;A VISTA;1443.0800000000002
2219;2017-11-30 11:05:25;1055;3;1.0;A VISTA;450.42
2220;2017-11-30 11:05:25;995;1;2.0;A VISTA;928.0899999999999
2319;2017-12-02 11:20:05;989;6;1.0;PARCELADO;735.49
2320;2017-12-02 11:20:05;139;1;2.0;PARCELADO;2564.14
2321;2017-12-02 11:20:05;771;1;3.0;A VISTA;264.65999999999997
2105;2017-12-02 15:34:36;776;3;3.0;PARCELADO;134.81
2518;2017-12-03 15:19:00;1227;16;3.0;A VISTA;3249.5299999999997
1309;2017-12-12 16:44:55;892;6;4.0;A VISTA;1838.33
2265;2017-12-13 13:49:15;791;8;1.0;PARCELADO;2144.13
1533;2017-12-13 16:05:22;127;14;4.0;A VISTA;1625.97
2196;2017-12-14 05:51:01;429;0;1.0;PARCELADO;85.68
125;2017-12-15 09:49:19;175;0;3.0;PARCELADO;53.58
516;2017-12-18 11:43:12;338;6;3.0;A VISTA;5.83
698;2017-12-18 13:30:38;229;13;2.0;PARCELADO;1113.67
1172;2017-12-19 12:12:58;1002;6;2.0;A VISTA;1580.8
1215;2017-12-19 12:53:28;493;9;2.0;A VISTA;350.21000000000004
1595;2017-12-21 14:38:25;630;13;4.0;A VISTA;898.81
2325;2017-12-21 14:58:49;856;2;1.0;PARCELADO;290.44
2292;2017-12-21 16:43:08;725;9;3.0;A VISTA;266.2
1909;2017-12-22 13:04:27;29;5;1.0;PARCELADO;1516.06
28;2017-12-24 17:30:01;1291;15;3.0;A VISTA;3537.5600000000004
83;2017-12-31 15:06:06;828;12;4.0;A VISTA;858.37
688;2018-01-03 11:07:05;232;2;2.0;A VISTA;747.08
689;2018-01-03 11:07:05;108;1;3.0;A VISTA;32.28
788;2018-01-03 14:04:18;931;15;4.0;A VISTA;1291.46
1414;2018-01-04 22:00:31;1280;0;1.0;PARCELADO;660.91
2314;2018-01-05 14:02:46;606;6;2.0;A VISTA;600.84
364;2018-01-05 14:17:27;693;15;4.0;A VISTA;130.81
1199;2018-01-05 14:28:29;408;8;1.0;A VISTA;275.15
2209;2018-01-06 10:05:58;761;2;2.0;A VISTA;149.92
90;2018-01-06 13:41:14;1002;14;4.0;PARCELADO;573.6899999999999
91;2018-01-06 13:41:14;1271;1;3.0;A VISTA;909.73
1490;2018-01-08 03:42:52;559;0;4.0;PARCELADO;599.62
150;2018-01-08 14:36:51;439;8;4.0;A VISTA;575.6800000000001
1459;2018-01-08 15:30:12;3;7;4.0;A VISTA;2588.97
309;2018-01-09 16:30:16;824;2;1.0;A VISTA;2978.62
1804;2018-01-10 16:07:33;414;2;3.0;A VISTA;1469.0800000000002
1028;2018-01-11 15:27:49;1217;5;1.0;A VISTA;594.26
2245;2018-01-13 18:24:19;753;0;2.0;A VISTA;1042.35
1996;2018-01-16 15:02:20;131;14;4.0;PARCELADO;1558.95
1718;2018-01-17 10:45:41;726;5;3.0;A VISTA;656.76
1044;2018-01-19 10:22:54;1235;16;1.0;PARCELADO;1400.77
1485;2018-01-20 12:15:30;134;2;4.0;PARCELADO;958.03
1133;2018-01-21 16:52:55;163;7;4.0;PARCELADO;2456.06
2531;2018-01-22 10:05:46;1227;2;2.0;A VISTA;735.55
978;2018-01-22 14:08:45;379;4;4.0;PARCELADO;1278.47
979;2018-01-22 14:08:45;387;1;1.0;A VISTA;702.79
1573;2018-01-23 12:24:44;1113;16;1.0;A VISTA;345.44
1484;2018-01-23 16:58:02;891;8;4.0;A VISTA;80.75999999999999
239;2018-01-24 14:20:43;1296;4;2.0;A VISTA;637.91
622;2018-01-24 15:21:22;453;2;1.0;A VISTA;639.28
1445;2018-01-24 17:09:25;1172;14;3.0;A VISTA;2469.64
1553;2018-01-25 04:11:55;1200;0;3.0;A VISTA;458.66
1751;2018-01-25 12:21:14;581;12;3.0;A VISTA;1393.25
443;2018-01-26 14:41:08;77;15;1.0;A VISTA;492.71000000000004
1984;2018-01-28 16:50:09;37;13;4.0;PARCELADO;974.5
374;2018-01-29 14:58:53;991;7;4.0;A VISTA;59.84
80;2018-01-29 16:21:17;1129;3;1.0;A VISTA;1479.4599999999998
302;2018-01-29 16:43:18;608;4;2.0;A VISTA;2269.49
961;2018-01-31 17:10:33;1369;14;3.0;A VISTA;1597.42
100;2018-02-01 12:15:36;805;5;4.0;A VISTA;338.24
726;2018-02-02 10:42:00;65;14;3.0;PARCELADO;826.02
1186;2018-02-04 16:38:03;830;14;4.0;A VISTA;552.2099999999999
671;2018-02-05 13:20:48;666;8;1.0;A VISTA;595.86
2496;2018-02-08 09:13:03;604;7;1.0;A VISTA;527.35
1633;2018-02-08 12:40:15;667;14;3.0;A VISTA;1360.79
1129;2018-02-08 15:22:37;153;15;3.0;A VISTA;953.28
738;2018-02-10 14:45:31;1286;16;2.0;A VISTA;308.96
1769;2018-02-11 09:34:27;690;14;1.0;A VISTA;19.12
388;2018-02-11 11:17:09;386;3;2.0;A VISTA;193.72
1208;2018-02-13 12:17:10;62;4;3.0;A VISTA;2003.51
742;2018-02-13 17:08:02;393;4;4.0;A VISTA;709.09
