CODIGO_VENDA;DATA_VENDA;CODIGO_CLIENTE;CODIGO_VENDEDOR;CODIGO_LOJA;FORMA_PAGAMENTO;TIPO_PAGAMENTO;VALOR_FINAL
7281;2017-01-08 11:23:19;491;27;1;1.0;A VISTA;1811.1000000000001
2232;2017-01-08 11:53:22;262;18;3;2.0;A VISTA;842.2
14546;2017-01-08 12:14:06;1253;18;2;3.0;A VISTA;727.07
9878;2017-01-08 13:36:48;961;3;1;3.0;A VISTA;3492.61
9442;2017-01-08 14:28:29;16;17;4;1.0;A VISTA;29.34
5738;2017-01-08 16:56:39;1302;23;2;1.0;A VISTA;1846.85
9126;2017-01-08 18:57:08;614;25;1;2.0;A VISTA;87.06
4068;2017-01-09 11:00:19;29;15;3;3.0;A VISTA;1676.05
3452;2017-01-09 12:19:51;1167;35;3;1.0;A VISTA;88.33
607;2017-01-09 13:22:18;817;12;3;1.0;A VISTA;397.24
8070;2017-01-09 14:19:04;1351;35;3;1.0;A VISTA;18.2
4910;2017-01-09 23:05:55;1280;27;1;4.0;A VISTA;346.56
298;2017-01-10 09:04:52;93;5;4;4.0;A VISTA;2126.0299999999997
7055;2017-01-10 09:53:00;1276;29;3;3.0;A VISTA;1730.65
2981;2017-01-10 12:45:16;908;3;3;3.0;A VISTA;924.4200000000001
9833;2017-01-10 13:17:23;375;33;2;2.0;A VISTA;1119.02
9580;2017-01-10 13:47:45;251;5;2;1.0;A VISTA;1011.75
7407;2017-01-10 14:49:02;1174;31;2;3.0;A VISTA;13.18
3304;2017-01-11 09:11:35;514;20;4;1.0;A VISTA;212.01000000000002
3423;2017-01-11 10:28:48;1048;18;4;4.0;A VISTA;1536.9299999999998
8905;2017-01-11 10:52:33;728;37;3;4.0;A VISTA;1444.8200000000002
12230;2017-01-11 12:06:12;705;15;2;3.0;A VISTA;942.01
7817;2017-01-11 12:14:54;1207;23;2;4.0;A VISTA;393.34000000000003
11868;2017-01-11 17:18:38;467;34;1;1.0;A VISTA;2423.4
947;2017-01-12 01:13:52;1333;19;1;1.0;A VISTA;1501.21
10556;2017-01-12 09:57:06;533;13;2;3.0;A VISTA;1.94
10829;2017-01-12 09:57:19;799;4;4;4.0;A VISTA;3126.44
14061;2017-01-12 10:43:54;353;32;1;3.0;A VISTA;1527.93
9027;2017-01-12 17:00:40;637;5;2;3.0;A VISTA;568.15
8950;2017-01-12 17:38:44;732;29;3;4.0;A VISTA;251.81
2963;2017-01-13 02:39:16;1153;11;1;1.0;A VISTA;30.47
11864;2017-01-13 15:33:38;282;39;3;2.0;A VISTA;2314.19
13071;2017-01-14 09:08:58;738;33;3;2.0;A VISTA;964.41
13886;2017-01-14 09:14:27;769;23;4;1.0;A VISTA;1815.95
14082;2017-01-14 11:56:53;583;9;4;1.0;A VISTA;38.36
7764;2017-01-14 13:09:08;142;2;3;4.0;A VISTA;619.1
2613;2017-01-14 14:24:44;916;32;4;1.0;A VISTA;1277.49
7533;2017-01-14 15:00:55;213;21;1;1.0;A VISTA;1380.63
11588;2017-01-14 16:34:22;625;32;4;4.0;A VISTA;150.14
5370;2017-01-15 03:15:36;1062;5;1;3.0;A VISTA;309.26
13342;2017-01-15 12:50:52;1081;9;2;1.0;A VISTA;1030.48
1986;2017-01-15 15:30:54;197;35;2;1.0;A VISTA;15.5
3344;2017-01-15 16:06:53;1090;34;3;2.0;A VISTA;1633.24
11035;2017-01-15 16:22:09;836;36;3;4.0;A VISTA;23.64
1505;2017-01-15 20:49:49;1081;20;1;1.0;A VISTA;1319.78
6055;2017-01-16 17:13:35;701;33;4;4.0;A VISTA;1155.62
7136;2017-01-18 09:14:26;989;18;3;2.0;A VISTA;3.31
2362;2017-01-18 10:46:37;92;30;4;3.0;A VISTA;1562.93
3328;2017-01-18 13:49:28;778;33;4;2.0;A VISTA;1429.3700000000001
8532;2017-01-18 14:45:50;645;1;4;4.0;A VISTA;1405.67
832;2017-01-18 16:39:32;985;4;3;2.0;A VISTA;2503.62
13696;2017-01-19 11:27:03;603;9;4;3.0;A VISTA;59.56
6788;2017-01-19 12:05:41;568;39;1;1.0;A VISTA;8.08
4390;2017-01-19 14:43:49;635;25;3;3.0;A VISTA;976.46
5570;2017-01-19 15:42:53;936;1;2;4.0;A VISTA;822.64
14952;2017-01-19 16:03:34;219;32;3;2.0;A VISTA;991.02
8663;2017-01-19 16:05:12;567;3;2;3.0;A VISTA;316.4
10630;2017-01-19 19:32:27;925;24;1;1.0;A VISTA;555.19
9400;2017-01-19 22:27:42;161;39;1;4.0;A VISTA;781.6800000000001
4380;2017-01-20 03:54:18;472;17;1;1.0;A VISTA;2764.12
1006;2017-01-20 11:22:11;118;16;4;3.0;A VISTA;445.86
5343;2017-01-20 13:15:14;784;12;4;1.0;A VISTA;1987.05
5410;2017-01-20 13:16:32;903;8;2;2.0;A VISTA;1132.94
14514;2017-01-20 13:27:14;1044;4;1;1.0;A VISTA;389.41
2571;2017-01-20 13:29:43;1285;10;2;1.0;A VISTA;255.45
4090;2017-01-20 17:18:42;423;25;3;2.0;A VISTA;1560.5
6264;2017-01-20 17:19:22;61;28;4;1.0;A VISTA;2614.08
9052;2017-01-21 12:54:09;1034;16;2;4.0;A VISTA;540.45
2192;2017-01-21 14:33:25;529;4;3;1.0;A VISTA;1081.85
14498;2017-01-21 17:49:10;1291;16;2;2.0;A VISTA;1790.77
6931;2017-01-22 09:44:19;141;14;2;4.0;A VISTA;119.72
9398;2017-01-22 13:08:30;74;36;2;1.0;A VISTA;870.53
11057;2017-01-22 14:29:43;1214;37;4;3.0;A VISTA;2329.4
6248;2017-01-22 15:54:01;410;9;3;4.0;A VISTA;1990.21
8519;2017-01-22 17:53:03;55;18;2;3.0;A VISTA;40.03
14857;2017-01-23 00:28:43;328;7;1;4.0;A VISTA;951.74
11777;2017-01-23 04:36:46;643;8;1;2.0;A VISTA;72.47
5800;2017-01-23 14:02:38;268;37;2;2.0;A VISTA;1166.91
8982;2017-01-23 14:33:45;1173;38;4;2.0;A VISTA;2100.7799999999997
4591;2017-01-23 16:21:22;1370;16;2;1.0;A VISTA;1987.07
3602;2017-01-23 16:27:57;1365;20;2;2.0;A VISTA;889.93
1475;2017-01-23 16:49:20;584;39;3;2.0;A VISTA;460.65000000000003
13793;2017-01-23 17:11:57;51;24;3;2.0;A VISTA;3286.8999999999996
8326;2017-01-23 17:54:29;146;10;2;1.0;A VISTA;91.78999999999999
13316;2017-01-23 19:56:23;675;15;1;1.0;A VISTA;307.46
11384;2017-01-24 03:47:40;995;36;1;4.0;A VISTA;221.14000000000001
14222;2017-01-24 11:16:05;633;39;4;3.0;A VISTA;1037.63
376;2017-01-24 11:45:35;302;6;3;2.0;A VISTA;2770.8399999999997
10726;2017-01-24 12:34:14;541;6;3;4.0;A VISTA;808.5699999999999
12467;2017-01-24 17:35:01;415;26;2;1.0;A VISTA;1201.95
4226;2017-01-25 11:20:21;354;24;4;2.0;A VISTA;1745.04
13335;2017-01-25 11:54:39;170;6;4;3.0;A VISTA;1054.95
8671;2017-01-25 11:55:49;1223;27;4;1.0;A VISTA;893.61
12872;2017-01-25 16:14:12;1346;9;2;2.0;A VISTA;1442.63
850;2017-01-25 16:35:12;591;34;3;2.0;A VISTA;767.46
521;2017-01-26 10:05:29;986;14;3;3.0;A VISTA;314.15
1731;2017-01-26 10:27:12;1293;11;4;1.0;A VISTA;22.45
11990;2017-01-26 14:39:45;596;20;1;2.0;A VISTA;1009.14
6650;2017-01-26 21:37:54;1222;35;1;4.0;A VISTA;2160.45
11016;2017-01-27 00:46:49;334;16;1;3.0;A VISTA;615.1
932;2017-01-27 04:26:35;760;37;1;1.0;A VISTA;1110.15
4023;2017-01-27 09:06:52;947;18;2;1.0;A VISTA;391.53999999999996
11757;2017-01-27 09:22:53;777;27;2;3.0;A VISTA;1050.06
13081;2017-01-27 12:34:49;258;5;3;4.0;A VISTA;854.0699999999999
12405;2017-01-27 15:12:57;622;5;1;2.0;A VISTA;845.49
9291;2017-01-27 17:27:28;987;21;2;4.0;A VISTA;998.38
683;2017-01-28 01:23:51;1026;18;1;3.0;A VISTA;2748.2300000000005
14530;2017-01-28 07:55:27;1385;18;1;4.0;A VISTA;1104.76
8182;2017-01-28 12:09:34;892;9;2;1.0;A VISTA;602.37
14774;2017-01-28 13:56:00;231;35;4;4.0;A VISTA;2593.4
4230;2017-01-28 16:43:32;1091;5;3;2.0;A VISTA;39.97
6019;2017-01-28 17:41:58;174;29;1;4.0;A VISTA;479.15
13599;2017-01-29 09:42:33;386;19;3;2.0;A VISTA;409.94
12711;2017-01-29 10:23:08;441;14;4;4.0;A VISTA;289.59
11095;2017-01-29 14:12:36;1065;1;4;2.0;A VISTA;3511.31
1414;2017-01-29 15:10:07;806;32;2;2.0;A VISTA;1916.49
14023;2017-01-29 15:27:43;928;18;2;1.0;A VISTA;1072.47
4000;2017-01-29 22:16:21;529;17;1;1.0;A VISTA;57.39
10131;2017-01-30 13:31:45;753;17;4;2.0;A VISTA;1031.88
7267;2017-01-30 13:36:11;1193;9;3;4.0;A VISTA;1239.17
939;2017-01-30 16:49:38;185;1;2;3.0;A VISTA;1477.78
11437;2017-01-30 18:04:14;563;12;1;1.0;A VISTA;804.4200000000001
10453;2017-01-31 09:15:14;786;34;3;1.0;A VISTA;27.99
14842;2017-01-31 12:32:11;79;13;2;3.0;A VISTA;1087.56
3824;2017-01-31 16:41:49;1144;7;3;4.0;A VISTA;871.8399999999999
1938;2017-01-31 17:40:05;355;33;1;1.0;A VISTA;1626.45
2563;2017-02-01 05:21:40;429;28;1;2.0;A VISTA;1241.07
2850;2017-02-01 09:27:16;1298;39;1;3.0;A VISTA;2306.68
5668;2017-02-01 12:17:35;881;36;2;3.0;A VISTA;901.99
734;2017-02-01 13:08:12;100;38;3;4.0;A VISTA;2243.02
12223;2017-02-01 16:30:46;248;35;2;2.0;A VISTA;623.04
8735;2017-02-01 22:55:51;687;7;1;2.0;A VISTA;698.49
4121;2017-02-02 09:36:29;927;7;2;1.0;A VISTA;725.5400000000001
11879;2017-02-02 11:55:38;810;22;3;3.0;A VISTA;22.48
1383;2017-02-02 12:49:36;763;7;4;2.0;A VISTA;851.4
10049;2017-02-02 14:27:54;1289;10;1;3.0;A VISTA;179.87
12033;2017-02-02 14:52:04;120;36;2;1.0;A VISTA;2353.33
6544;2017-02-02 15:31:34;319;22;2;2.0;A VISTA;172.47
14347;2017-02-02 16:41:08;1070;33;3;2.0;A VISTA;4.6
12527;2017-02-03 09:10:46;361;1;4;1.0;A VISTA;3004.08
14679;2017-02-03 09:36:17;990;31;3;2.0;A VISTA;870.25
8475;2017-02-03 10:43:54;882;8;4;4.0;A VISTA;1499.86
10708;2017-02-03 11:23:36;99;34;3;3.0;A VISTA;1492.74
11138;2017-02-03 14:13:52;1023;24;1;3.0;A VISTA;63.1
2473;2017-02-03 15:01:12;1071;6;2;1.0;A VISTA;524.28
8585;2017-02-03 15:03:18;1345;32;3;2.0;A VISTA;610.33
11786;2017-02-03 17:13:53;1236;4;4;1.0;A VISTA;322.52
14917;2017-02-04 00:12:59;165;12;1;3.0;A VISTA;114.45
3846;2017-02-04 05:58:23;1321;39;1;1.0;A VISTA;561.44
5592;2017-02-04 12:43:00;562;15;4;4.0;A VISTA;1251.13
6908;2017-02-04 12:50:19;403;4;3;3.0;A VISTA;2189.4900000000002
5290;2017-02-04 13:43:05;1133;29;3;4.0;A VISTA;515.02
2650;2017-02-04 16:33:41;64;31;4;2.0;A VISTA;1231.74
8857;2017-02-04 16:41:20;59;33;2;3.0;A VISTA;1188.6599999999999
12423;2017-02-04 23:11:53;659;14;1;1.0;A VISTA;1239.93
3769;2017-02-05 13:34:39;116;11;2;4.0;A VISTA;1589.3999999999999
2382;2017-02-05 16:37:05;979;34;3;1.0;A VISTA;2265.66
6136;2017-02-05 17:39:12;1312;33;2;4.0;A VISTA;847.0
13261;2017-02-06 07:26:27;199;15;1;2.0;A VISTA;1585.0099999999998
11283;2017-02-06 12:15:07;861;31;4;4.0;A VISTA;1789.5900000000001
11102;2017-02-06 13:33:50;181;18;4;2.0;A VISTA;1476.46
989;2017-02-06 14:10:07;856;19;2;4.0;A VISTA;1405.73
14736;2017-02-06 17:19:29;438;6;2;4.0;A VISTA;1416.15
1912;2017-02-07 03:07:02;1241;29;1;3.0;A VISTA;170.04000000000002
203;2017-02-07 06:13:02;39;30;1;1.0;A VISTA;433.5
11346;2017-02-07 09:09:41;611;10;2;2.0;A VISTA;1164.94
4708;2017-02-07 09:37:04;165;15;2;2.0;A VISTA;1821.44
13616;2017-02-07 11:05:43;1224;31;2;3.0;A VISTA;1828.81
13207;2017-02-07 13:11:18;312;27;3;2.0;A VISTA;1504.35
7056;2017-02-07 13:46:10;632;30;3;4.0;A VISTA;1908.79
5739;2017-02-07 15:43:44;444;5;2;3.0;A VISTA;737.95
9807;2017-02-07 16:18:11;276;22;4;3.0;A VISTA;867.65
8980;2017-02-07 16:29:43;634;25;2;2.0;A VISTA;1263.95
11701;2017-02-07 16:36:34;1034;6;2;2.0;A VISTA;2356.15
8085;2017-02-07 19:31:52;129;34;1;4.0;A VISTA;848.85
9385;2017-02-08 12:38:00;19;24;2;2.0;A VISTA;44.91
10788;2017-02-08 12:50:34;254;25;3;4.0;A VISTA;70.46
6316;2017-02-08 13:04:01;661;3;3;4.0;A VISTA;1502.5700000000002
9713;2017-02-08 13:09:36;1075;5;4;4.0;A VISTA;501.69
9744;2017-02-08 14:33:26;453;14;4;4.0;A VISTA;407.37
4194;2017-02-08 16:06:00;1344;16;3;2.0;A VISTA;518.14
11195;2017-02-09 09:30:42;976;10;3;1.0;A VISTA;589.79
14648;2017-02-09 10:45:06;1300;27;4;1.0;A VISTA;799.5100000000001
7469;2017-02-09 11:22:06;699;9;4;3.0;A VISTA;3970.33
14150;2017-02-09 12:52:37;267;26;2;1.0;A VISTA;1941.6
11637;2017-02-09 13:18:04;310;38;1;2.0;A VISTA;1650.8899999999999
3509;2017-02-10 05:29:47;367;4;1;1.0;A VISTA;1372.1200000000001
4389;2017-02-10 06:52:19;1040;5;1;3.0;A VISTA;823.88
4310;2017-02-10 10:17:56;975;13;1;4.0;A VISTA;720.66
435;2017-02-10 10:38:44;1105;15;2;1.0;A VISTA;132.57
14085;2017-02-10 11:35:34;624;18;1;2.0;A VISTA;309.06
4454;2017-02-10 12:16:32;1131;12;3;1.0;A VISTA;1117.9199999999998
12471;2017-02-10 13:36:14;127;32;2;1.0;A VISTA;1188.64
12726;2017-02-10 15:20:57;98;9;4;2.0;A VISTA;304.48
2258;2017-02-10 15:46:07;46;10;4;4.0;A VISTA;943.0600000000001
15125;2017-02-10 15:52:45;302;27;2;2.0;A VISTA;1111.97
8356;2017-02-10 16:46:52;223;25;1;3.0;A VISTA;2884.5099999999998
9852;2017-02-10 17:26:56;1247;29;4;3.0;A VISTA;1083.96
8608;2017-02-11 00:30:33;1268;12;1;1.0;A VISTA;552.64
7480;2017-02-11 01:15:49;864;19;1;2.0;A VISTA;232.47
12755;2017-02-11 02:02:45;585;8;1;1.0;A VISTA;713.02
6683;2017-02-11 09:21:57;1205;39;4;2.0;A VISTA;1516.42
3148;2017-02-11 10:29:22;571;32;4;2.0;A VISTA;2159.14
8725;2017-02-11 11:24:10;1265;5;2;2.0;A VISTA;137.0
2779;2017-02-11 13:05:55;276;4;4;3.0;A VISTA;507.25
10528;2017-02-11 14:04:12;772;38;4;1.0;A VISTA;68.35
5264;2017-02-11 15:08:13;121;9;4;4.0;A VISTA;265.9
7330;2017-02-11 15:43:00;994;18;4;1.0;A VISTA;1528.42
14466;2017-02-11 16:58:01;304;38;4;3.0;A VISTA;686.45
12811;2017-02-12 07:09:39;189;18;1;1.0;A VISTA;2561.02
304;2017-02-12 09:05:06;1037;28;3;1.0;A VISTA;281.28999999999996
12345;2017-02-12 10:21:10;1052;20;2;2.0;A VISTA;836.55
82;2017-02-12 11:26:57;1196;10;3;3.0;A VISTA;347.62
5931;2017-02-12 13:00:52;1092;13;3;3.0;A VISTA;2167.23
5319;2017-02-12 13:46:40;524;8;1;3.0;A VISTA;1077.6200000000001
4936;2017-02-12 16:00:47;834;25;3;3.0;A VISTA;1243.33
6308;2017-02-12 16:42:33;654;32;2;3.0;A VISTA;1729.8500000000001
5397;2017-02-12 17:18:30;1010;17;2;1.0;A VISTA;863.9699999999999
5322;2017-02-12 17:42:48;1262;2;4;3.0;A VISTA;2656.94
6110;2017-02-12 19:15:24;1159;25;1;3.0;A VISTA;379.40999999999997
14554;2017-02-13 09:19:04;804;3;2;3.0;A VISTA;2289.66
9359;2017-02-13 13:53:12;1020;13;2;3.0;A VISTA;1062.96
1059;2017-02-13 14:27:39;697;10;3;2.0;A VISTA;1774.0100000000002
11778;2017-02-13 17:13:11;302;32;4;1.0;A VISTA;2452.48
3971;2017-02-14 09:08:11;229;3;3;4.0;A VISTA;2864.69
8082;2017-02-14 09:53:07;858;11;3;1.0;A VISTA;1680.21
14765;2017-02-14 12:26:33;763;10;2;3.0;A VISTA;628.35
12736;2017-02-15 12:02:31;809;7;4;1.0;A VISTA;1400.68
2669;2017-02-15 14:48:43;227;4;2;3.0;A VISTA;15.6
10151;2017-02-15 17:24:26;1280;14;3;2.0;A VISTA;653.99
6465;2017-02-15 18:05:28;1283;19;1;3.0;A VISTA;44.35
1547;2017-02-16 00:26:13;42;9;1;2.0;A VISTA;809.37
2946;2017-02-16 11:56:09;865;24;1;4.0;A VISTA;472.26
8921;2017-02-16 12:02:29;336;4;2;4.0;A VISTA;38.5
1425;2017-02-16 15:26:45;641;12;4;1.0;A VISTA;843.3
6856;2017-02-16 16:12:53;536;9;3;4.0;A VISTA;986.0
6451;2017-02-17 12:58:50;648;35;4;4.0;A VISTA;130.68
4725;2017-02-17 13:32:15;1244;33;2;4.0;A VISTA;1087.35
11022;2017-02-17 15:35:56;921;1;3;1.0;A VISTA;897.45
13343;2017-02-17 15:56:34;503;26;3;3.0;A VISTA;349.27000000000004
6389;2017-02-17 16:05:25;1078;16;4;4.0;A VISTA;1191.19
13530;2017-02-17 16:50:21;1029;25;3;2.0;A VISTA;2161.18
5894;2017-02-18 09:44:06;1062;33;2;3.0;A VISTA;1370.2
2290;2017-02-18 10:04:56;199;1;2;1.0;A VISTA;375.83000000000004
4723;2017-02-18 10:45:35;167;30;2;3.0;A VISTA;276.06
11134;2017-02-18 11:22:23;728;20;3;4.0;A VISTA;2469.59
5865;2017-02-18 13:46:47;467;25;3;4.0;A VISTA;1514.1799999999998
9063;2017-02-18 13:52:51;1032;2;3;4.0;A VISTA;824.3
1949;2017-02-18 15:57:57;744;37;3;2.0;A VISTA;2333.6
13798;2017-02-18 16:50:34;9;1;4;3.0;A VISTA;984.9200000000001
212;2017-02-18 17:07:36;150;23;4;1.0;A VISTA;1079.33
7162;2017-02-18 17:51:51;272;32;3;3.0;A VISTA;1116.75
7303;2017-02-19 12:02:56;723;4;4;1.0;A VISTA;267.27
8743;2017-02-19 13:21:11;1055;39;2;4.0;A VISTA;292.25
14395;2017-02-19 14:16:20;1004;2;4;3.0;A VISTA;691.7
3887;2017-02-19 17:34:17;1366;23;3;2.0;A VISTA;934.12
8786;2017-02-19 18:39:23;161;11;1;4.0;A VISTA;362.52
2499;2017-02-20 09:12:43;788;25;1;1.0;A VISTA;300.15
2487;2017-02-20 10:18:50;545;11;3;3.0;A VISTA;34.1
15108;2017-02-20 10:32:41;15;38;2;4.0;A VISTA;220.33
14396;2017-02-20 10:34:33;786;25;4;1.0;A VISTA;2151.44
4304;2017-02-20 13:24:39;699;39;2;3.0;A VISTA;1363.59
3939;2017-02-20 14:37:28;842;8;1;4.0;A VISTA;3.43
10461;2017-02-20 16:41:35;192;14;2;3.0;A VISTA;1219.01
13580;2017-02-20 17:08:30;635;7;1;2.0;A VISTA;216.55
13468;2017-02-21 11:15:19;773;30;3;1.0;A VISTA;2763.55
1743;2017-02-21 12:13:19;1334;25;3;2.0;A VISTA;850.25
13377;2017-02-21 16:12:30;1096;37;1;1.0;A VISTA;1410.59
14638;2017-02-22 10:08:05;1017;38;2;1.0;A VISTA;2190.83
10126;2017-02-22 11:22:05;166;9;1;2.0;A VISTA;1899.23
2104;2017-02-22 15:23:53;384;19;4;1.0;A VISTA;288.5
3267;2017-02-22 16:34:48;188;11;2;4.0;A VISTA;1991.4499999999998
3921;2017-02-23 13:32:41;1127;14;3;2.0;A VISTA;1492.18
2807;2017-02-23 16:08:17;810;15;3;3.0;A VISTA;1222.4099999999999
12908;2017-02-23 16:45:17;822;37;2;4.0;A VISTA;163.24
4400;2017-02-24 04:06:40;531;10;1;3.0;A VISTA;1058.67
12738;2017-02-24 11:53:08;1373;25;2;3.0;A VISTA;949.4000000000001
13587;2017-02-24 13:09:09;87;1;3;1.0;A VISTA;1759.2199999999998
1417;2017-02-24 16:34:16;1243;11;3;2.0;A VISTA;703.84
3480;2017-02-25 02:18:46;776;36;1;3.0;A VISTA;1072.73
6625;2017-02-25 03:45:45;735;21;1;1.0;A VISTA;707.33
4874;2017-02-25 07:55:44;971;3;1;1.0;A VISTA;2051.61
8916;2017-02-25 11:20:40;1157;9;1;4.0;A VISTA;184.32
1962;2017-02-25 15:17:09;914;3;4;2.0;A VISTA;264.73
14093;2017-02-26 03:17:04;86;23;1;1.0;A VISTA;1806.7199999999998
5395;2017-02-26 15:40:19;599;30;4;4.0;A VISTA;1728.5
3781;2017-02-26 16:28:30;741;34;1;1.0;A VISTA;1627.8700000000001
9595;2017-02-27 11:00:29;20;31;4;2.0;A VISTA;995.04
7395;2017-02-27 11:19:21;490;23;3;4.0;A VISTA;1015.8400000000001
10515;2017-02-27 12:17:53;283;32;2;2.0;A VISTA;2917.2000000000003
675;2017-02-27 13:28:42;1172;16;2;2.0;A VISTA;578.44
3533;2017-02-27 14:21:35;497;18;4;1.0;A VISTA;2400.75
2860;2017-02-27 14:39:23;50;31;1;4.0;A VISTA;1184.84
12819;2017-02-27 16:11:21;707;18;2;4.0;A VISTA;1621.03
3091;2017-02-27 16:17:25;655;35;3;1.0;A VISTA;1180.64
3557;2017-02-27 16:28:08;125;32;4;1.0;A VISTA;801.49
2109;2017-02-28 09:23:09;213;36;3;4.0;A VISTA;1222.8000000000002
9787;2017-02-28 10:08:07;924;14;4;2.0;A VISTA;125.42
13829;2017-02-28 10:28:42;1279;17;3;4.0;A VISTA;1066.92
6869;2017-02-28 10:45:14;604;18;1;1.0;A VISTA;408.51
7915;2017-02-28 10:50:46;436;2;2;3.0;A VISTA;940.55
1156;2017-02-28 11:37:36;1284;14;3;4.0;A VISTA;119.22
74;2017-02-28 13:03:51;1100;12;3;2.0;A VISTA;763.03
233;2017-02-28 16:14:41;348;5;3;4.0;A VISTA;691.0500000000001
5493;2017-03-01 01:42:25;665;11;1;4.0;A VISTA;1139.5
5551;2017-03-01 12:13:12;634;21;4;1.0;A VISTA;689.02
7507;2017-03-01 14:00:31;18;24;3;4.0;A VISTA;1758.3799999999999
10897;2017-03-01 16:30:11;695;29;2;4.0;A VISTA;986.28
410;2017-03-02 00:36:08;952;15;1;3.0;A VISTA;141.91
6810;2017-03-02 01:47:04;143;13;1;3.0;A VISTA;1616.12
4533;2017-03-02 09:09:29;452;30;2;2.0;A VISTA;577.21
8794;2017-03-02 11:00:11;188;23;2;4.0;A VISTA;2905.65
10841;2017-03-02 11:29:19;1212;14;3;3.0;A VISTA;400.49
14848;2017-03-02 12:00:15;1042;22;4;3.0;A VISTA;1786.3799999999999
13324;2017-03-02 13:18:52;453;21;3;1.0;A VISTA;498.68999999999994
12881;2017-03-02 13:35:21;1001;4;2;3.0;A VISTA;1747.9099999999999
1788;2017-03-02 14:08:23;1182;29;2;1.0;A VISTA;726.46
7608;2017-03-02 15:28:06;1331;24;1;1.0;A VISTA;62.47
1340;2017-03-02 16:09:25;1270;13;2;2.0;A VISTA;2557.12
13861;2017-03-02 16:22:05;172;5;3;4.0;A VISTA;364.73
4576;2017-03-02 16:23:19;270;10;3;2.0;A VISTA;1432.1299999999999
10863;2017-03-02 16:25:30;243;26;4;3.0;A VISTA;16.9
6275;2017-03-02 16:55:57;108;36;1;1.0;A VISTA;521.08
10867;2017-03-03 10:46:41;275;23;2;1.0;A VISTA;879.89
11391;2017-03-03 14:43:40;1244;33;3;3.0;A VISTA;1300.21
9286;2017-03-03 14:47:43;668;17;2;2.0;A VISTA;441.66999999999996
4746;2017-03-03 17:07:57;863;12;3;2.0;A VISTA;826.27
11520;2017-03-03 17:31:22;152;35;4;1.0;A VISTA;1078.72
13205;2017-03-04 09:34:41;1244;23;3;3.0;A VISTA;854.18
10380;2017-03-04 13:52:01;879;25;4;3.0;A VISTA;1037.42
3849;2017-03-04 14:17:14;21;9;4;2.0;A VISTA;973.89
3932;2017-03-04 15:15:10;1277;17;2;2.0;A VISTA;2676.07
14383;2017-03-04 17:23:50;561;1;4;3.0;A VISTA;2179.35
